Year,Date,TimeStart,TimeEnd,TotalInd,TotalSp,StartTemp,EndTemp,WeatherStationID
1980,12,900,1200,81,11,-12.5,-9.5,6149387
1981,17,900,1200,106,16,-16.5,-13,6149387
1982,9,900,1200,116,11,-15,-15.6,6149387
1983,8,900,1200,252,18,-4.4,-3.3,6149387
1984,7,900,1200,181,17,-18.2,-15,6149387
1985,12,900,1200,120,16,-5.7,-4.2,6149387
1986,18,900,1200,247,14,2.7,3.8,6149387
1987,17,800,1100,NA,13,-11.9,-7.5,6149387
1988,16,800,1130,214,13,-1.9,-1.6,6149387
1989,14,800,1130,183,15,-8.2,-2.2,6149387
1990,13,800,1100,255,19,-12,-10.2,6149387
1991,12,800,1100,235,16,-3.8,-7,6149387
1992,11,800,1100,307,18,-1.9,-1,6149387
1993,9,800,1100,580,23,-11,-8.2,6149387
1994,8,800,1200,377,16,-15.2,-10.4,6149387
1995,7,800,1130,456,26,-5.5,-6.1,6149387
1996,6,800,1115,112,18,-19.6,-13.9,6149387
1997,11,800,1145,114,17,-12.3,-9.5,6149387
1998,10,800,1100,223,16,0,0,6149387
1999,16,800,1100,104,16,-4.9,-1.4,6149387
2000,9,800,1100,423,19,1.7,2.1,6149387
2001,6,800,1215,359,25,-11.8,-6.4,6149387
2002,12,800,1130,214,21,1.4,3,6153301
2003,19,800,1030,162,16,-12.5,-9.3,6149388
2004,11,800,1130,259,26,-7.1,-4.6,6149388
2005,9,800,1100,262,15,-3.3,-2.2,6149388
2006,8,800,1200,434,20,-4.2,-0.7,6149388
2007,7,800,1200,411,26,-0.2,2.1,6149388
2008,6,800,1100,254,18,2.5,3.4,6149388
2009,11,800,1130,311,25,-14.7,-5.6,6143089
2010,10,800,1100,125,20,-13.7,-6.9,6143089
2011,16,800,1045,200,15,-10.3,-13,6143089
2012,15,800,1100,178,16,-15.2,-8.7,6143089
2013,5,800,1130,535,24,-1.3,0.1,6143089
2014,4,800,1130,127,18,-9.6,-3.1,6143089
2015,10,800,1130,129,14,-17.4,-13.7,6143089
2016,10,800,1045,177,16,4.3,4.6,6143089
2017,8,800,1130,217,20,-12,-12,6143089
2018,6,800,1045,308,19,-22.8,-19.3,6143089
2019,12,800,1115,164,20,-7.8,-6.5,6143089
2020,18,800,1100,251,20,-6.5,-5.9,6143089
2021,9,800,1200,231,29,-7.6,0.9,6143089
2022,9,800,1130,111,18,1.6,1,6143089
